Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0402,8,100n,C344189
"C10, C11, C12, C13, C14, C15, C9",0603,7,10u,C6119842
"D1, D2, D3, D4, D5, D6",SOD-123FL_L2.8-W1.8-LS3.7-RD,6,D,C5120763
"D10, D11, D12, D13, D7, D8, D9",0603,7,LED,C7496819
"J1, J2",JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical,2,Conn_01x06_Pin,C144397
"Q1, Q10, Q11, Q13, Q15, Q16, Q18, Q2, Q3, Q6, Q7, Q9",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,12,Q_PNP_BEC,C2891805
"Q12, Q14, Q17",SOT-23,3,Q_NPN_BEC,C5249680
"Q4, Q5, Q8",SOT-23,3,Q_PMOS_GSD,C41384537
"R1, R2, R3, R4, R5, R6",0402,6,5MEG,C3017614
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R21, R22, R23, R24, R25, R26, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R7, R8, R9",0402,31,10K,C102759
"R19, R20, R27",0402,3,100K,C3017514
SM3,Symbol_kurzschlussblog,1,SYM_Arrow45_Tiny,
"SW1, SW2, SW3",SW-TH_MSK12C02,3,MSK12C02,C431540
"U1, U2, U3, U4",CONN-SMD_3VM11201-D730-7H,4,3VM11201-D730-7H,C2895506
"U5, U6, U7, U8",QFN-32_L4.0-W4.0-P0.40-TL-EP2.9,4,FSW3820YQFN32G/TR,C32713321
