Designator,Mid X,Mid Y,Rotation,Layer
C1,212.27,-126.0,0.0,top
C10,180.5625,-130.95,180.0,top
C11,193.75,-146.0,180.0,top
C12,201.0,-147.75,270.0,top
C13,201.0,-135.75,270.0,top
C14,189.0,-136.0,270.0,top
C15,189.0,-116.0,270.0,top
C2,212.27,-125.0,0.0,top
C3,212.27,-123.0,0.0,top
C4,212.27,-122.0,0.0,top
C5,212.27,-120.0,0.0,top
C6,212.29,-117.0,0.0,top
C7,212.27,-119.0,0.0,top
C8,212.29,-116.0,0.0,top
C9,180.5625,-111.0,180.0,top
D1,176.4625,-111.0,0.0,top
D10,210.0,-102.5,0.0,top
D11,215.25,-102.5,0.0,top
D12,220.5,-102.5,0.0,top
D13,225.75,-102.5,0.0,top
D2,176.5625,-130.95,0.0,top
D3,189.75,-146.0,0.0,top
D4,178.5,-137.0,0.0,top
D5,179.0625,-117.0,180.0,top
D6,191.75,-151.5,0.0,top
D7,221.0,-135.25,180.0,top
D8,219.75,-146.985,180.0,top
D9,223.5,-141.5,180.0,top
J1,221.675,-112.1875,180.0,top
J2,221.675,-105.7125,180.0,top
Q1,193.25,-97.1,180.0,top
Q10,180.0625,-114.0,180.0,top
Q11,184.0625,-114.0,180.0,top
Q12,174.0625,-114.0,0.0,top
Q13,180.5625,-133.9,180.0,top
Q14,174.0625,-133.95,0.0,top
Q15,184.5625,-133.95,180.0,top
Q16,193.75,-148.75,180.0,top
Q17,187.25,-149.0,0.0,top
Q18,197.5,-148.75,180.0,top
Q2,197.0,-97.05,180.0,top
Q3,207.0,-97.0,180.0,top
Q4,188.0,-97.05,0.0,top
Q5,202.0,-97.0,0.0,top
Q6,210.75,-97.0,180.0,top
Q7,221.5,-97.25,180.0,top
Q8,216.5,-97.25,0.0,top
Q9,225.25,-97.25,180.0,top
R1,185.5,-109.75,0.0,top
R10,210.0,-99.25,180.0,top
R11,223.0,-99.5,0.0,top
R12,225.0,-99.5,180.0,top
R13,183.5625,-111.0,0.0,top
R14,185.5525,-111.0,180.0,top
R15,184.5725,-117.0,180.0,top
R16,182.5525,-117.0,0.0,top
R17,177.5625,-115.0,0.0,top
R18,175.5525,-117.0,180.0,top
R19,177.5525,-113.0,0.0,top
R2,185.5,-108.75,0.0,top
R20,177.5625,-132.95,0.0,top
R21,183.0725,-130.95,0.0,top
R22,174.5625,-136.95,180.0,top
R23,177.5625,-134.95,0.0,top
R24,185.0625,-130.95,180.0,top
R25,185.0625,-136.95,180.0,top
R26,182.5625,-136.95,0.0,top
R27,190.75,-148.0,180.0,top
R28,196.5,-146.0,0.0,top
R29,187.75,-151.5,180.0,top
R3,185.0,-128.5,0.0,top
R30,190.75,-149.5,0.0,top
R31,198.5,-146.0,180.0,top
R32,197.5,-151.5,180.0,top
R33,195.5,-151.5,0.0,top
R34,218.29,-135.3,0.0,top
R35,217.25,-147.0,0.0,top
R36,221.0,-141.5,0.0,top
R37,212.5,-102.5,180.0,top
R38,217.75,-102.5,180.0,top
R39,223.0,-102.5,180.0,top
R4,185.0,-129.5,0.0,top
R40,228.25,-102.5,180.0,top
R5,178.75,-151.24,270.0,top
R6,177.5,-151.24,270.0,top
R7,208.0,-99.25,0.0,top
R8,193.5,-99.3,0.0,top
R9,195.75,-99.3,180.0,top
SM3,203.3015,-128.6985,0.0,top
SW1,228.4475,-135.25,90.0,top
SW2,224.5,-151.4475,0.0,top
SW3,228.4475,-144.25,90.0,top
U1,224.0,-124.0,90.0,top
U2,178.0,-104.0,270.0,top
U3,178.0,-124.0,270.0,top
U4,178.0,-144.0,270.0,top
U5,193.06,-114.0,0.0,top
U6,193.0,-134.0,0.0,top
U7,205.0,-134.0,0.0,top
U8,205.0,-146.06,0.0,top
