Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8, C9",0603,9,100n,
"C10, C11, C14, C15",0603,4,10u,
"D10, D11, D12, D13, D7, D8, D9",0603,7,LED,
"J1, J2",JST_XH_B6B-XH-AM_1x06_P2.50mm_Vertical,2,Conn_01x06_Pin,
"Q1, Q2, Q3, Q6, Q7, Q9",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,6,Q_PNP_BEC,C2891805
"Q4, Q5, Q8",SOT-23,3,Q_PMOS_GSD,C41384537
R1,0402,1,8K,
"R10, R11, R12, R13, R14, R2, R3, R34, R35, R36, R37, R38, R39, R4, R40, R5, R6, R7, R8, R9",0402,20,10K,
"R15, R16, R17",0402,3,0R,
"SW1, SW2, SW3",SW-TH_MSK12C02,3,MSK12C02,C431540
"U1, U2, U3",VFQFN-20_L4.5-W2.5-P0.5-BL-EP,3,CH482D,C2913009
U4,SOT-89-3,1,LM317L_SOT-89,
"U5, U6",QFN-32_L4.0-W4.0-P0.40-TL-EP2.9,2,FSW3820YQFN32G/TR,C32713321
"USB1, USB2, USB3",TYPE-C-SMD_TYPE-C-24P-QCHT,3,HX TYPE-C 24P QCHT,C5178545
USB4,USB-3.0-A-TH_HC-ST-003-01-Z,1,USB3_A,C2845330
