Designator,Mid X,Mid Y,Rotation,Layer
C1,188.4,-100.2,0.0,top
C10,204.2,-144.225,90.0,top
C11,207.6,-144.2,90.0,top
C14,191.6,-129.0,180.0,top
C15,191.6,-108.8,180.0,top
C2,187.575,-108.0,0.0,top
C3,190.8,-104.0,90.0,top
C4,187.4,-130.6,0.0,top
C5,187.4,-122.6,0.0,top
C6,190.6,-126.0,90.0,top
C7,188.0,-148.0,0.0,top
C8,191.0,-144.0,90.0,top
C9,187.4,-140.4,0.0,top
D10,210.0,-102.5,0.0,top
D11,215.25,-102.5,0.0,top
D12,220.5,-102.5,0.0,top
D13,225.75,-102.5,0.0,top
D7,221.0,-135.25,180.0,top
D8,219.75,-146.985,180.0,top
D9,223.5,-141.5,180.0,top
J1,221.675,-112.1875,180.0,top
J2,221.675,-105.7125,180.0,top
Q1,193.25,-97.1,180.0,top
Q2,197.0,-97.05,180.0,top
Q3,207.0,-97.0,180.0,top
Q4,188.0,-97.05,0.0,top
Q5,202.0,-97.0,0.0,top
Q6,210.75,-97.0,180.0,top
Q7,221.5,-97.25,180.0,top
Q8,216.5,-97.25,0.0,top
Q9,225.25,-97.25,180.0,top
R1,209.8,-145.6,270.0,top
R10,210.0,-99.25,180.0,top
R11,223.0,-99.5,0.0,top
R12,225.0,-99.5,180.0,top
R13,178.0,-150.2,180.0,top
R14,180.0,-150.23,0.0,top
R15,179.89,-111.8,0.0,top
R16,179.09,-132.2,0.0,top
R17,180.0,-151.4,0.0,top
R2,212.2,-145.6,90.0,top
R3,179.1,-130.8,0.0,top
R34,218.29,-135.3,0.0,top
R35,217.25,-147.0,0.0,top
R36,221.0,-141.5,0.0,top
R37,212.5,-102.5,180.0,top
R38,217.75,-102.5,180.0,top
R39,223.0,-102.5,180.0,top
R4,177.1,-130.8,180.0,top
R40,228.25,-102.5,180.0,top
R5,177.89,-110.6,180.0,top
R6,179.89,-110.6,0.0,top
R7,208.0,-99.25,0.0,top
R8,193.5,-99.3,0.0,top
R9,195.75,-99.3,180.0,top
SW1,228.4475,-135.25,90.0,top
SW2,224.5,-151.4475,0.0,top
SW3,228.4475,-144.25,90.0,top
U1,187.5,-104.0,90.0,top
U2,187.4,-126.6,90.0,top
U3,187.5,-144.0,90.0,top
U4,205.9,-149.15,90.0,top
U5,192.5,-113.5,270.0,top
U6,192.56,-133.6,270.0,top
USB1,176.765,-104.0,270.0,top
USB2,176.765,-124.0,270.0,top
USB3,176.765,-144.0,270.0,top
USB4,217.75,-124.0,90.0,top
