Designator,Footprint,Quantity,Value,LCSC Part #
C1,C1812,1,2u2,C22388553
"C10, C2, C3, C9",0603,4,100n,C5137636
"C11, C12, C4, C5",CP_Elec_8x10,4,100u,C46528094
"C6, C7",0603,2,10u,C6119842
C8,C1812,1,22u,C22388553
"D1, D2",0603,2,LED,C7496819
DC1,DC-IN-TH_DC-044A-25A,1,DC-044A-25,C22435685
J1,USB-3.0-A-TH_HC-ST-003-01-Z,1,USB3_A,C2845330
Q1,SOT-23,1,Q_PMOS_GSD,C41384537
"R1, R15",0402,2,25K,C273695
"R10, R16, R3, R9",0402,4,22R,C3017454
"R11, R14, R2",0402,3,8K,C2960789
"R12, R7, R8",0402,3,10K,C102759
"R13, R4",0402,2,100K,C3017514
"R17, R18, R6",1206,3,10m,C42454021
R5,0402,1,0R,
SM3,Symbol_kurzschlussblog,1,SYM_Arrow45_Tiny,
SW1,SW-TH_MSK12C02,1,MSK12C02,C431540
"U1, U6",SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,2,NDP1360KC,C7420576
U2,QFN-32_L4.0-W4.0-P0.40-TL-EP2.9,1,FSW3820YQFN32G/TR,C32713321
U3,VFQFN-20_L4.5-W2.5-P0.5-BL-EP,1,CH482D,C2913009
"U4, U7",IND-SMD_L7.1-W6.6_CXP0650,2,CXP0650-220M-AG(22UH),C7187321
U5,SOT-89-3,1,LM317L_SOT-89,C45953613
U8,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,XPD738B20,C3040879
USB1,TYPE-C-SMD_TYPE-C-24P-QCHT,1,HX TYPE-C 24P QCHT,C5178545
