Designator,Mid X,Mid Y,Rotation,Layer
C1,118.0,-53.09,270.0,top
C10,132.0,-27.490001,180.0,top
C11,144.0,-30.490001,90.0,top
C12,118.0,-30.7,90.0,top
C2,121.0,-53.09,270.0,top
C3,120.0,-58.09,0.0,top
C4,111.0,-55.09,270.0,top
C5,135.0,-55.6,270.0,top
C6,141.0,-58.0,90.0,top
C7,145.0,-53.0,180.0,top
C8,136.0,-31.490001,90.0,top
C9,133.0,-32.770001,90.0,top
D1,145.0,-64.0,180.0,top
D2,145.0,-62.0,180.0,top
DC1,153.705,-28.5,180.0,top
J1,153.25,-46.0,90.0,top
Q1,141.0,-46.0,180.0,top
R1,125.0,-51.09,180.0,top
R10,147.0,-45.0,180.0,top
R11,141.0,-55.0,90.0,top
R12,142.0,-62.0,180.0,top
R13,123.5,-34.8,0.0,top
R14,125.509999,-34.8,180.0,top
R15,127.509999,-34.8,0.0,top
R16,133.0,-29.490001,90.0,top
R17,141.0,-41.75,270.0,top
R18,112.0,-31.490001,270.0,top
R2,127.0,-51.09,0.0,top
R3,121.6,-56.1,270.0,top
R4,129.0,-51.09,180.0,top
R5,129.3,-46.6,270.0,top
R6,138.0,-62.0,0.0,top
R7,142.0,-64.0,0.0,top
R8,141.0,-53.0,90.0,top
R9,147.0,-46.0,0.0,top
SM3,148.9,-59.1,0.0,top
SW1,157.495,-58.0,90.0,top
U1,126.0,-55.09,0.0,top
U2,130.06,-43.0,0.0,top
U3,123.0,-42.25,90.0,top
U4,126.0,-62.09,0.0,top
U5,145.0,-57.0,180.0,top
U6,128.0,-31.490001,180.0,top
U7,126.0,-24.490001,180.0,top
U8,136.0,-43.0,90.0,top
USB1,112.0,-42.0,270.0,top
